list-id-m,8,40,4,960,1087699,1133,749
list-id-s,8,80,4,1920,1299702,676,3798
list-id-m,8,80,4,1920,1258146,655,3300
list-id-s,12,10,4,360,423547,1176,57
list-id-m,12,10,4,360,1103333,3064,84
list-id-s,12,20,4,720,1094451,1520,71
list-id-m,12,20,4,720,1200917,1667,794
list-id-s,12,40,4,1440,888315,616,3783
list-id-m,12,40,4,1440,1195856,830,1740
list-id-s,12,80,4,2880,2625662,911,10000
list-id-m,12,80,4,2880,2105537,731,7052
list-id-s,16,10,4,480,1211551,2524,56
list-id-m,16,10,4,480,1242669,2588,86
list-id-s,16,20,4,960,1188627,1238,115
list-id-m,16,20,4,960,1188583,1238,137
list-id-s,16,40,4,1920,1248096,650,187
list-id-m,16,40,4,1920,1323743,689,1583
list-id-s,16,80,4,3840,3717889,968,15636
list-id-m,16,80,4,3840,2829601,736,10780
list-none-m,1,1000,4,3000,1553572,517,46
list-none-s,1,1000,4,3000,1548206,516,47
list-none-m,1,1000,8,3000,1233077,411,46
list-none-s,1,1000,8,3000,1138251,379,43
list-none-m,1,1000,16,3000,898323,299,47
list-none-s,1,1000,16,3000,878681,292,44
list-none-m,2,1000,4,6000,5845549,974,761
list-none-s,2,1000,4,6000,5657412,942,420
list-none-m,2,1000,8,6000,3395073,565,324
list-none-s,2,1000,8,6000,3229357,538,159
list-none-m,2,1000,16,6000,2228746,371,173
list-none-s,2,1000,16,6000,2054714,342,92
list-none-m,4,1000,4,12000,18162129,1513,4047
list-none-s,4,1000,4,12000,17407930,1450,3468
list-none-m,4,1000,8,12000,9049872,754,1445
list-none-s,4,1000,8,12000,7943506,661,918
list-none-m,4,1000,16,12000,5377041,448,649
list-none-s,4,1000,16,12000,3222569,268,196
list-none-m,8,1000,4,24000,57169007,2382,18052
list-none-s,8,1000,4,24000,45874039,1911,14000
list-none-m,8,1000,8,24000,23020742,959,5239
list-none-s,8,1000,8,24000,17363104,723,3473
list-none-m,8,1000,16,24000,11266819,469,1836
list-none-s,8,1000,16,24000,8172488,340,949
list-none-m,12,1000,4,36000,136523499,3792,50098
list-none-s,12,1000,4,36000,113033318,3139,40486
list-none-m,12,1000,8,36000,54761459,1521,17185
list-none-s,12,1000,8,36000,36703547,1019,9604
list-none-m,12,1000,16,36000,25746763,715,5183
list-none-s,12,1000,16,36000,15566947,432,2580
list-none-m,1,1000,1,3000,4216132,1405,53
list-none-m,2,1000,1,6000,28056847,4676,6958
list-none-m,4,1000,1,12000,102997106,8583,37606
list-none-m,8,1000,1,24000,398785385,16616,153426
list-none-m,12,1000,1,36000,1265674677,35157,564835
list-none-m,16,1000,1,48000,2101659786,43784,913437
list-none-m,24,1000,1,72000,5026508224,69812,2170819
